City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Belmonte,BR,-15.8631,-38.8828,77.5,88,100,14.25,overcast clouds
312,Mwene-Ditu,CD,-7.0,23.45,67.37,96,100,2.19,moderate rain
313,Port Augusta,AU,-32.5,137.7667,55.54,74,18,4.92,few clouds
314,Kushiro,JP,42.975,144.3747,35.69,72,1,11.99,clear sky
315,Port Elizabeth,ZA,-33.918,25.5701,69.1,88,0,18.41,clear sky
316,Fairbanks,US,64.8378,-147.7164,0.23,74,90,3.44,light snow
317,Omsukchan,RU,62.5333,155.8,2.7,100,96,1.99,overcast clouds
318,Henties Bay,NA,-22.116,14.2845,64.85,86,83,4.34,broken clouds
319,Douglas,US,41.3,-96.167,61.99,55,1,1.01,clear sky
320,Cabadiangan,PH,9.7531,122.4739,77.09,90,91,5.26,light rain
321,Pyapon,MM,16.2833,95.6833,76.3,83,37,3.47,scattered clouds
322,Cayenne,GF,4.9333,-52.3333,84.09,80,75,1.01,broken clouds
323,Hasaki,JP,35.7333,140.8333,54.0,54,47,7.92,scattered clouds
324,Zahesi,GE,41.8246,44.7536,55.11,73,97,13.71,overcast clouds
325,Kodiak,US,57.79,-152.4072,24.84,72,12,4.25,few clouds
326,Sosua,DO,19.7667,-70.5167,91.31,62,40,9.22,scattered clouds
327,Lixourion,GR,38.2019,20.4314,63.28,78,98,9.64,overcast clouds
328,Masvingo,ZW,-20.0637,30.8277,77.83,44,19,8.23,few clouds
329,Villa Maria,AR,-32.4075,-63.2402,83.82,50,32,12.55,scattered clouds
330,Riyadh,SA,24.6877,46.7219,73.54,27,1,8.63,clear sky
331,Cuenca,EC,-2.8833,-78.9833,69.93,56,75,4.61,light rain
332,Husavik,IS,66.0449,-17.3389,42.71,81,55,15.66,broken clouds
333,Camacha,PT,33.0833,-16.3333,67.53,64,20,11.5,few clouds
334,Neuquen,AR,-38.9516,-68.0591,60.69,29,0,20.71,clear sky
335,Le Pradet,FR,43.1066,6.0172,56.68,84,75,6.91,broken clouds
336,Dunedin,NZ,-45.8742,170.5036,50.41,74,55,9.66,broken clouds
337,Hambantota,LK,6.1241,81.1185,79.48,83,81,14.94,broken clouds
338,Portland,US,45.5234,-122.6762,61.95,82,100,5.99,overcast clouds
339,Quatre Cocos,MU,-20.2078,57.7625,75.31,69,19,7.25,few clouds
340,Truth Or Consequences,US,33.1284,-107.2528,69.13,14,6,2.04,clear sky
341,Leirvik,NO,59.7798,5.5005,49.62,100,75,13.8,moderate rain
342,Nemuro,JP,43.3236,145.575,39.67,62,54,14.16,broken clouds
343,Miura,JP,35.14,139.6192,59.04,54,38,10.04,scattered clouds
344,Cherskiy,RU,68.75,161.3,18.79,87,100,4.5,overcast clouds
345,Brest,BY,52.1,23.7,42.3,72,92,9.44,overcast clouds
346,Lakes Entrance,AU,-37.8811,147.981,47.16,72,66,15.17,broken clouds
